Date;Water Head
01.01.2000T00:00:00+00:00;5
02.01.2000T00:00:00+00:00;5
03.01.2000T00:00:00+00:00;5
04.01.2000T00:00:00+00:00;5
05.01.2000T00:00:00+00:00;5
06.01.2000T00:00:00+00:00;5
07.01.2000T00:00:00+00:00;5
08.01.2000T00:00:00+00:00;5
09.01.2000T00:00:00+00:00;5
10.01.2000T00:00:00+00:00;5
11.01.2000T00:00:00+00:00;5
12.01.2000T00:00:00+00:00;5
13.01.2000T00:00:00+00:00;5
14.01.2000T00:00:00+00:00;5
15.01.2000T00:00:00+00:00;5
16.01.2000T00:00:00+00:00;5
17.01.2000T00:00:00+00:00;5
18.01.2000T00:00:00+00:00;5
19.01.2000T00:00:00+00:00;5
20.01.2000T00:00:00+00:00;5
21.01.2000T00:00:00+00:00;5
22.01.2000T00:00:00+00:00;5
23.01.2000T00:00:00+00:00;5
24.01.2000T00:00:00+00:00;5
25.01.2000T00:00:00+00:00;5
26.01.2000T00:00:00+00:00;5
27.01.2000T00:00:00+00:00;5
28.01.2000T00:00:00+00:00;5
29.01.2000T00:00:00+00:00;5
30.01.2000T00:00:00+00:00;5
31.01.2000T00:00:00+00:00;5
01.02.2000T00:00:00+00:00;5
02.02.2000T00:00:00+00:00;5
03.02.2000T00:00:00+00:00;5
04.02.2000T00:00:00+00:00;5
05.02.2000T00:00:00+00:00;5
06.02.2000T00:00:00+00:00;5
07.02.2000T00:00:00+00:00;5
08.02.2000T00:00:00+00:00;5
09.02.2000T00:00:00+00:00;5
10.02.2000T00:00:00+00:00;5
11.02.2000T00:00:00+00:00;5
12.02.2000T00:00:00+00:00;5
13.02.2000T00:00:00+00:00;5
14.02.2000T00:00:00+00:00;5
15.02.2000T00:00:00+00:00;5
16.02.2000T00:00:00+00:00;5
17.02.2000T00:00:00+00:00;5
18.02.2000T00:00:00+00:00;5
19.02.2000T00:00:00+00:00;5
20.02.2000T00:00:00+00:00;5
21.02.2000T00:00:00+00:00;5
22.02.2000T00:00:00+00:00;5
23.02.2000T00:00:00+00:00;5
24.02.2000T00:00:00+00:00;5
25.02.2000T00:00:00+00:00;5
26.02.2000T00:00:00+00:00;5
27.02.2000T00:00:00+00:00;5
28.02.2000T00:00:00+00:00;5
29.02.2000T00:00:00+00:00;5
01.03.2000T00:00:00+00:00;5
02.03.2000T00:00:00+00:00;5
03.03.2000T00:00:00+00:00;5
04.03.2000T00:00:00+00:00;5
05.03.2000T00:00:00+00:00;5
06.03.2000T00:00:00+00:00;5
07.03.2000T00:00:00+00:00;5
08.03.2000T00:00:00+00:00;5
09.03.2000T00:00:00+00:00;5
10.03.2000T00:00:00+00:00;5
11.03.2000T00:00:00+00:00;5
12.03.2000T00:00:00+00:00;5
13.03.2000T00:00:00+00:00;5
14.03.2000T00:00:00+00:00;5
15.03.2000T00:00:00+00:00;5
16.03.2000T00:00:00+00:00;5
17.03.2000T00:00:00+00:00;5
18.03.2000T00:00:00+00:00;5
19.03.2000T00:00:00+00:00;5
20.03.2000T00:00:00+00:00;5
21.03.2000T00:00:00+00:00;5
22.03.2000T00:00:00+00:00;5
23.03.2000T00:00:00+00:00;5
24.03.2000T00:00:00+00:00;5
25.03.2000T00:00:00+00:00;5
26.03.2000T00:00:00+00:00;5
27.03.2000T00:00:00+00:00;5
28.03.2000T00:00:00+00:00;5
29.03.2000T00:00:00+00:00;5
30.03.2000T00:00:00+00:00;5
31.03.2000T00:00:00+00:00;5
